Name;Description;Details;Vendor;System;Topics;Versions;Environments;Prompt;Exportable;Command
cli_help;Consultar ajuda CLI;Palavras-chave: CLI. Quando usar: para descobrir sintaxe e comandos disponíveis.;Fortinet;FortiOS;CLI;7.2;FortiGate, FortiClient, FortiAnalyzer, FortiManager, FortiSASE;#;Yes;"?
tree
get system status"
system_status;Consultar status do sistema;Palavras-chave: HA, cluster, failover, CPU, memória, performance. Quando usar: em manutenção, inventário ou alteração global do equipamento.;Fortinet;FortiOS;Sistema;7.2;FortiGate, FortiClient, FortiAnalyzer, FortiManager, FortiSASE;#;Yes;"get system status
get system performance status
get hardware status"
hostname;Alterar hostname;"Palavras-chave: configuração, auditoria. Quando usar: em manutenção, inventário ou alteração global do equipamento. Cuidado: altera configuração; valide valores, dependências e plano de retorno antes de aplicar.";Fortinet;FortiOS;Sistema;7.2;FortiGate, FortiClient, FortiAnalyzer, FortiManager, FortiSASE;(config)#;No;"show system global | grep hostname
config system global
set hostname {{hostname}}
end"
interface;Gerenciar interface e IP;"Palavras-chave: interface, IP, link, rede, configuração, auditoria. Quando usar: em instalação, mudança de IP, link down ou falha de conectividade. Cuidado: altera configuração; valide valores, dependências e plano de retorno antes de aplicar.";Fortinet;FortiOS;Interface;7.2;FortiGate, FortiClient, FortiAnalyzer, FortiManager, FortiSASE;(config)#;No;"show system interface
config system interface
edit ""{{interface}}""
set ip {{src_ip}} {{netmask}}
set status up
next
end"
vlan;Gerenciar VLAN;"Palavras-chave: interface, IP, link, rede, VLAN, subinterface. Quando usar: em instalação, mudança de IP, link down ou falha de conectividade. Cuidado: altera configuração; valide valores, dependências e plano de retorno antes de aplicar.";Fortinet;FortiOS;Interface;7.2;FortiGate, FortiClient, FortiAnalyzer, FortiManager, FortiSASE;(config)#;No;"config system interface
edit ""{{vlan_name}}""
set interface ""{{interface}}""
set vlanid {{vlan_id}}
set ip {{src_ip}} {{netmask}}
next
end"
aggregate;Gerenciar LACP;"Palavras-chave: interface, IP, link, rede, aggregate, LACP. Quando usar: em instalação, mudança de IP, link down ou falha de conectividade. Cuidado: altera configuração; valide valores, dependências e plano de retorno antes de aplicar.";Fortinet;FortiOS;Interface;7.2;FortiGate, FortiClient, FortiAnalyzer, FortiManager, FortiSASE;(config)#;No;"config system interface
edit ""{{aggregate_name}}""
set type aggregate
set member ""{{interface_1}}"" ""{{interface_2}}""
set lacp-mode active
next
end"
loopback;Gerenciar loopback;"Palavras-chave: interface, IP, link, rede, loopback, IP virtual. Quando usar: em instalação, mudança de IP, link down ou falha de conectividade. Cuidado: altera configuração; valide valores, dependências e plano de retorno antes de aplicar.";Fortinet;FortiOS;Interface;7.2;FortiGate, FortiClient, FortiAnalyzer, FortiManager, FortiSASE;(config)#;No;"config system interface
edit ""{{loopback_name}}""
set type loopback
set ip {{src_ip}} {{netmask}}
next
end"
zone;Gerenciar zona;"Palavras-chave: interface, IP, link, rede, configuração, auditoria. Quando usar: em instalação, mudança de IP, link down ou falha de conectividade. Cuidado: altera configuração; valide valores, dependências e plano de retorno antes de aplicar.";Fortinet;FortiOS;Interface;7.2;FortiGate, FortiClient, FortiAnalyzer, FortiManager, FortiSASE;(config)#;No;"config system zone
edit ""{{zone_name}}""
set interface ""{{interface_1}}"" ""{{interface_2}}""
next
end"
static_route;Gerenciar rota estática;"Palavras-chave: interface, IP, link, rede, rota, gateway. Quando usar: quando a rota estiver ausente, incorreta ou o tráfego usar caminho inesperado. Cuidado: altera configuração; valide valores, dependências e plano de retorno antes de aplicar.";Fortinet;FortiOS;Roteamento;7.2;FortiGate, FortiClient, FortiAnalyzer, FortiManager, FortiSASE;(config)#;No;"get router info routing-table all
config router static
edit 0
set dst {{network}} {{netmask}}
set gateway {{src_ip}}
set device ""{{interface}}""
next
end"
policy_route;Gerenciar policy route;"Palavras-chave: interface, IP, link, rede, rota, gateway. Quando usar: quando a rota estiver ausente, incorreta ou o tráfego usar caminho inesperado. Cuidado: altera configuração; valide valores, dependências e plano de retorno antes de aplicar.";Fortinet;FortiOS;Roteamento;7.2;FortiGate, FortiClient, FortiAnalyzer, FortiManager, FortiSASE;(config)#;No;"show router policy
config router policy
edit 0
set input-device ""{{src_interface}}""
set gateway {{src_ip}}
set output-device ""{{dst_interface}}""
next
end"
